1,0,0,0,0,0,0,0,0,18,17,16,15,15,14,13,12,11,10,9,8,7,6,5,4,3,2,9,4,12,7,18,14,24,23,22,21,21,20,19,18,18,17,17,16,16,15,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,9,9,8,8,7,8,7,9,7,10,8,14,12,17,15,16,14,16,14,15,13,14,12,13,11,13,10,15,13,17,14,18,15,18,16,20,19,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,7,4,6,3,7,5,9,5,12,8,16,12,19,15,18,14,16,12,13,9,12,8,15,12,15,12,14,11,2,1,7,1,14,7,18,10,26,25,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,10,10,9,10,9,8,7,7,6,8,6,10,7,12,9,15,11,16,13,14,10,11,7,10,6,13,9,18,15,19,17,21,20,19,18,18,17,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,9,7,8,6,14,10,14,10,13,9,11,7,3,2,6,2,14,7,20,14,25,24,24,23,23,22,22,21,21,20,19,19,18,17,17,16,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,9,8,9,7,10,8,9,7,11,10,14,11,11,9,14,10,1,0,7,3,9,6,7,4,6,4,8,5,8,6,14,10,18,16,19,17,18,17,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,13,12,11,10,11,9,8,7,3,2,10,5,13,10,13,10,12,9,12,9,12,9,3,2,6,2,14,8,18,14,23,22,20,19,18,17,17,16,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,9,8,7,6,7,5,6,5,9,8,8,7,6,5,5,4,6,4,4,3,6,5,5,4,10,6,12,8,17,14,18,16,20,18,18,17,16,15,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,12,11,11,9,9,8,9,7,10,8,11,8,11,8,11,8,11,8,14,10,17,14,19,17,20,18,21,19,20,19,19,18,18,16,16,15,15,14,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,12,11,11,10,9,8,7,5,9,6,11,8,11,8,11,9,14,10,9,4,15,10,20,15,23,22,22,21,20,19,19,18,18,17,16,15,15,14,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,9,4,12,7,10,8,9,7,5,4,7,6,5,4,6,3,6,2,3,2,2,1,2,1,10,6,9,6,11,8,15,12,19,17,19,17,21,20,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,13,12,12,11,10,9,9,8,8,7,7,6,5,4,4,3,2,2,10,3,14,7,20,14,25,25,24,23,23,22,22,21,20,19,19,18,18,17,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,9,8,7,6,6,5,7,5,8,6,8,5,6,4,7,4,8,4,12,8,16,12,21,18,23,22,22,21,15,13,15,13,16,14,18,16,20,19,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,15,14,13,12,12,11,11,10,9,8,8,7,8,6,11,8,13,10,18,14,15,11,13,10,10,8,12,9,17,14,18,16,20,18,18,17,16,15,0,0,0,0,0,0,0,0,0,0
